,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
0,Lake District Bar & Kitchen," North Indian, Asian",1500,5,Necklace Road,,Secunderabad
1,Ohris Jiva Imperia," North Indian, Chinese, Rajasthani, South Indian",1200,4,White House,Begumpet,Secunderabad
2,So. The Sky Kitchen," North Indian, Chinese, Asian, Mughlai",1800,4,Aryan's Building,Jubilee Hills,Central West Hyderabad
3,Jalpaan," North Indian, Italian, Chinese, Continental, Desserts, Beverages",1200,4,Oasis Centre,Begumpet,Secunderabad
4,The Waterfront," Chinese, North Indian",1500,4.3,Necklace Road,,Secunderabad
5,By The Bay - Bar Exchange," North Indian, Continental, Chinese",1800,4.1,Khairatabad,,Central Hyderabad
6,Aish," Hyderabadi, Seafood",2400,4.3,The Park,Somajiguda,Central East Hyderabad
7,Roastery Coffee at Sicca Bar," Beverages, Fast Food",1800,4.6,The Park,Somajiguda,Central East Hyderabad
8,Verandah," Chinese, North Indian, Continental, Italian",3300,3.9,The Park,Somajiguda,Central East Hyderabad
9,Signature Grills," North Indian, Chinese, Italian",1500,4.1,Necklace Road,,Secunderabad
10,Kismet, Finger Food,2100,4,The Park,Somajiguda,Central East Hyderabad
11,Pizza Hut," Pizza, Fast Food",800,4.4,The Grand Building,Somajiguda,Central East Hyderabad
12,Seven Spices," Andhra, Biryani",1000,4.2,Somajiguda,,Central East Hyderabad
13,Kritunga Restaurant," Andhra, North Indian, Chinese, Hyderabadi",1000,5,Somajiguda,,Central East Hyderabad
14,Aqua," Finger Food, North Indian, Chinese, Continental",2500,4,The Park,Somajiguda,Central East Hyderabad
15,Parampara - Flavours of india," Chinese, North Indian",1000,3.9,ANR Center,Banjara Hills,Central East Hyderabad
16,Headquarters," North Indian, Italian, Chinese, Continental, Desserts, Beverages",1700,4.1,Somajiguda,,Central East Hyderabad
17,Eagles Pizza," Pizza, Fast Food",600,3.9,Ohud Building,Somajiguda,Central East Hyderabad
18,Kuchipudi," Andhra, North Indian",1000,4,Katriya Hotel,Somajiguda,Central East Hyderabad
19,Hideaway, Chinese,400,5,Begumpet,,Secunderabad
20,Kasuall," Chinese, Continental, North Indian",1300,3.8,Katriya Hotel,Somajiguda,Central East Hyderabad
21,10 Downing Street," Finger Food, Chinese, Continental, North Indian",2000,4.3,Begumpet,,Secunderabad
22,Rocket Fuel Cafe, Fast Food,800,4.1,Somajiguda,,Central East Hyderabad
23,Ice n Spice," North Indian, Continental, South Indian, Chinese",800,4.2,Hotel Inner Circle,Somajiguda,Central East Hyderabad
24,One Fine Day, Desserts,300,3,Necklace Road,,Secunderabad
